"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-01-01","2015","01","01","","3.2","","-10.9","","-3.9","","21.9","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-01-02","2015","01","02","","-10.9","","-23.4","","-17.2","","35.2","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-01-03","2015","01","03","","-20.0","","-29.0","","-24.5","","42.5","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-01-04","2015","01","04","","-22.1","","-30.2","","-26.2","","44.2","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-01-05","2015","01","05","","-17.5","","-26.3","","-21.9","","39.9","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-01-06","2015","01","06","","-16.5","","-20.5","","-18.5","","36.5","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-01-07","2015","01","07","","-7.8","","-19.0","","-13.4","","31.4","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-01-08","2015","01","08","","-13.0","","-22.5","","-17.8","","35.8","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-01-09","2015","01","09","","-17.0","","-26.1","","-21.6","","39.6","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-01-10","2015","01","10","","-13.9","","-18.5","","-16.2","","34.2","","0.0","","","M","","M","","M","","","","M","","M"
