Date,Carbon Monoxide,Methane,Nitric Oxide,Nitrogen Dioxide,Non-methane Hydrocarbons,Outdoor Air Temperature,Ozone,PM2.5 Mass,Relative Humidity,Std. Dev. of Wind Direction,Total Hydrocarbons,Total Oxides Of Nitrogen,Wind Direction,Wind Speed
01/01/2020 00:00:00,0.5,2.2,0.0078,0.0288,0,2.5,0.01,5.2,64,23,2.2,0.0366,262.6,5.6
01/01/2020 01:00:00,0.3,2.15,0.0013,0.0161,0,2.9,0.018,3.7,64,17,2.15,0.0174,250.4,8.2
01/01/2020 02:00:00,0.3,2.03,0.0015,0.0155,0,2.7,0.018,3.4,70,17,2.03,0.017,251.4,8.1
01/01/2020 03:00:00,,,,,,2.3,,3.2,74,20,,,262.7,5.4
01/01/2020 04:00:00,0.4,2.15,0.0037,0.0254,0,2,0.008,3.3,77,21,2.15,0.0291,267.7,4.9
01/01/2020 05:00:00,0.3,2.19,0.006,0.028,0,1.7,0.006,3.3,80,13,2.19,0.034,261.1,5.4
01/01/2020 06:00:00,0.3,2.15,0.0064,0.0288,0,1.5,0.006,2.7,80,14,2.15,0.0352,263.3,6
01/01/2020 07:00:00,0.4,2.41,0.0067,0.0283,0,0.4,0.006,3,82,14,2.41,0.035,266.2,5.6
01/01/2020 08:00:00,0.3,2.29,0.0046,0.024,0,-0.4,0.009,2.9,84,14,2.29,0.0286,257.6,5.4
01/01/2020 09:00:00,0.3,2.25,0.0089,0.0247,0,-0.6,0.008,2.8,85,17,2.25,0.0336,270.8,4.7
01/01/2020 10:00:00,0.4,2.33,0.0123,0.0228,0,-0.2,0.012,3.3,83,18,2.33,0.0351,266.7,5.7
01/01/2020 11:00:00,0.3,2.26,0.0086,0.0168,0,0.4,0.018,3,79,23,2.26,0.0254,265,5.2
01/01/2020 12:00:00,0.3,2.17,0.0102,0.0176,0,0.9,0.018,2.7,76,19,2.17,0.0278,259.4,7
01/01/2020 13:00:00,0.3,2.01,0.0062,0.0152,0,2.1,0.022,3,70,19,2.01,0.0214,258.1,5.6
01/01/2020 14:00:00,0.3,2.03,0.0059,0.0177,0,2.2,0.02,3.5,69,17,2.03,0.0236,261.1,5.6
01/01/2020 15:00:00,0.4,2.06,0.0054,0.0232,0,1.5,0.014,3.5,72,18,2.06,0.0286,264.3,3.9
01/01/2020 16:00:00,0.4,2.03,0.0034,0.0234,0,1,0.013,4.6,75,31,2.03,0.0268,251.3,4.9
01/01/2020 17:00:00,0.5,2.05,0.0106,0.0333,0.01,-1,0.002,4.6,84,40,2.06,0.0439,108.2,1.9
01/01/2020 18:00:00,0.5,2.08,0.0092,0.0295,0,-1.5,0.004,5,88,58,2.08,0.0387,176.4,1.6
01/01/2020 19:00:00,0.5,2.1,0.0154,0.0312,0,-2.1,0.002,4.7,89,41,2.1,0.0466,119.9,3.3
01/01/2020 20:00:00,0.6,2.27,0.0359,0.0339,0,-3.2,0.001,4.3,93,20,2.27,0.0698,130.5,5.4
01/01/2020 21:00:00,0.5,2.16,0.019,0.0316,0,-3,0.001,4.3,93,26,2.16,0.0506,127.9,5.7
01/01/2020 22:00:00,0.5,2.19,0.0139,0.0305,0,-2.7,0.001,4.1,93,43,2.19,0.0444,119.1,3
01/01/2020 23:00:00,0.4,2.13,0.0067,0.0285,0,-2.6,0.001,3.6,91,41,2.13,0.0352,137.2,3.4
01/02/2020 00:00:00,0.4,2.09,0.0043,0.0254,0,-1.9,0.003,3.5,89,10,2.09,0.0297,160.4,7.4
01/02/2020 01:00:00,0.3,2.1,0.0038,0.0229,0,-1,0.005,2.6,94,74,2.1,0.0267,256.4,2.5
01/02/2020 02:00:00,0.3,2.07,0.0028,0.0195,0,-0.4,0.009,1.5,98,21,2.07,0.0223,292.1,7.6
01/02/2020 03:00:00,,,,,,0.4,,0.7,97,19,,,278.3,5.6
01/02/2020 04:00:00,0.2,2.12,0.0026,0.0191,0,0,0.013,0.9,94,15,2.12,0.0217,263.7,7.4
01/02/2020 05:00:00,0.2,1.99,0.001,0.012,0,0.5,0.028,0.6,63,19,1.99,0.013,275.3,10.1
01/02/2020 06:00:00,0.2,1.93,0.0009,0.0081,0,0.5,0.036,0.3,48,18,1.93,0.009,285.2,11.2
01/02/2020 07:00:00,0.2,1.94,0.0011,0.0091,0,0.1,0.036,0.3,41,19,1.94,0.0102,285.1,10.9
